,open,high,low,close,adjclose,volume,ticker
2020-12-28,118.58000183105469,118.86000061035156,117.62000274658203,117.69000244140625,113.80440521240234,284800,VOE
2020-12-29,118.23999786376953,118.44000244140625,116.66999816894531,117.05000305175781,113.18553924560547,281900,VOE
2020-12-30,117.4000015258789,118.44999694824219,117.33999633789062,118.06999969482422,114.1718521118164,376400,VOE
2020-12-31,118.05000305175781,119.0199966430664,117.48999786376953,118.95999908447266,115.03247833251953,305800,VOE
2021-01-04,119.44999694824219,119.68000030517578,116.19999694824219,116.80999755859375,112.95345306396484,752800,VOE
2021-01-05,116.77999877929688,118.66999816894531,116.69000244140625,118.0199966430664,114.12350463867188,405800,VOE
2021-01-06,118.73999786376953,122.55000305175781,118.73999786376953,121.77999877929688,117.75936889648438,602400,VOE
2021-01-07,122.79000091552734,123.0999984741211,122.29000091552734,122.44999694824219,118.40724182128906,357400,VOE
2021-01-08,122.91999816894531,122.93000030517578,121.05000305175781,122.31999969482422,118.28153991699219,390200,VOE
2021-01-11,121.18000030517578,122.51000213623047,120.8499984741211,122.3499984741211,118.31055450439453,268200,VOE
2021-01-12,122.29000091552734,123.68000030517578,122.26000213623047,123.58999633789062,119.50961303710938,284500,VOE
2021-01-13,123.54000091552734,123.93000030517578,122.95999908447266,123.36000061035156,119.28720092773438,337000,VOE
2021-01-14,123.79000091552734,124.95999908447266,123.66000366210938,124.23999786376953,120.13815307617188,276600,VOE
2021-01-15,123.26000213623047,123.86000061035156,122.0199966430664,123.47000122070312,119.3935775756836,305900,VOE
2021-01-19,124.31999969482422,124.31999969482422,123.16999816894531,123.68000030517578,119.59664154052734,362500,VOE
2021-01-20,124.16000366210938,124.55999755859375,123.63999938964844,124.47000122070312,120.36055755615234,500000,VOE
2021-01-21,124.41999816894531,124.45999908447266,123.3499984741211,123.47000122070312,119.3935775756836,365100,VOE
2021-01-22,122.52999877929688,123.31999969482422,121.98999786376953,123.08000183105469,119.01644134521484,320900,VOE
2021-01-25,122.58000183105469,123.63999938964844,121.80000305175781,122.80999755859375,118.75535583496094,340100,VOE
2021-01-26,123.36000061035156,123.37000274658203,121.88999938964844,122.30000305175781,118.26220703125,237300,VOE
2021-01-27,120.5999984741211,121.3499984741211,119.33999633789062,119.7699966430664,115.81571960449219,275000,VOE
